Chi: 100.000000	tcc [code units]: 8.904371e-02	Mcl [Solar mass]: 1.445491e+00	mu: 0.672442	 [code time] = 3.085678e+13 s

t/tcc		t/tdrag		M(rho>rhocl/3)/Mcl	deltav/vwind
3.245589e+00	3.245589e-01	1.512760e+00		2.082111e-02
3.256747e+00	3.256747e-01	1.515428e+00		6.963381e-03
3.267954e+00	3.267954e-01	1.518060e+00		-7.320695e-03
3.279210e+00	3.279210e-01	1.395260e+00		-2.182978e-02
3.290516e+00	3.290516e-01	1.405167e+00		-3.510989e-02
3.301735e+00	3.301735e-01	1.413942e+00		1.361085e-01
3.312872e+00	3.312872e-01	1.421630e+00		1.280651e-01
3.324074e+00	3.324074e-01	1.428339e+00		1.196529e-01
3.335349e+00	3.335349e-01	1.434035e+00		1.109828e-01
3.346573e+00	3.346573e-01	1.438624e+00		9.832125e-02
3.357891e+00	3.357891e-01	1.581147e+00		7.480012e-02
3.369040e+00	3.369040e-01	1.595583e+00		5.200973e-02
3.380301e+00	3.380301e-01	1.609307e+00		2.932309e-02
3.391544e+00	3.391544e-01	1.622159e+00		6.911171e-03
3.402779e+00	3.402779e-01	1.634162e+00		-1.534101e-02
3.414014e+00	3.414014e-01	1.645321e+00		-3.753768e-02
3.425257e+00	3.425257e-01	1.655654e+00		-5.969450e-02
3.436382e+00	3.436382e-01	1.665063e+00		-8.127560e-02
3.447670e+00	3.447670e-01	1.673813e+00		-1.025032e-01
3.458856e+00	3.458856e-01	1.681754e+00		-1.218905e-01
3.470085e+00	3.470085e-01	1.689078e+00		-1.385588e-01
3.481365e+00	3.481365e-01	1.695797e+00		-1.519635e-01
3.492567e+00	3.492567e-01	1.702048e+00		-1.608707e-01
3.503836e+00	3.503836e-01	1.707687e+00		-4.716562e-02
3.515022e+00	3.515022e-01	1.712593e+00		-5.858313e-02
3.526285e+00	3.526285e-01	1.716894e+00		-6.883406e-02
3.537460e+00	3.537460e-01	1.720346e+00		-7.749876e-02
3.548685e+00	3.548685e-01	1.722903e+00		-8.528843e-02
3.559961e+00	3.559961e-01	1.724522e+00		-9.212037e-02
3.571151e+00	3.571151e-01	1.724971e+00		-9.489527e-02
3.582392e+00	3.582392e-01	1.724121e+00		5.699904e-02
3.593680e+00	3.593680e-01	1.856829e+00		4.893167e-02
3.604883e+00	3.604883e-01	1.866007e+00		4.095378e-02
3.616131e+00	3.616131e-01	1.874642e+00		3.304611e-02
3.627421e+00	3.627421e-01	1.760362e+00		2.520849e-02
3.638625e+00	3.638625e-01	1.778020e+00		1.744894e-02
3.649880e+00	3.649880e-01	1.794392e+00		4.440794e-03
3.661069e+00	3.661069e-01	1.809370e+00		-9.270336e-03
3.672326e+00	3.672326e-01	1.823196e+00		-2.302581e-02
3.683537e+00	3.683537e-01	1.835774e+00		-3.670638e-02
3.694712e+00	3.694712e-01	1.847192e+00		-5.041263e-02
3.705989e+00	3.705989e-01	1.857689e+00		-6.440523e-02
3.717254e+00	3.717254e-01	1.867236e+00		-7.862653e-02
3.728394e+00	3.728394e-01	1.875911e+00		-9.296596e-02
3.739670e+00	3.739670e-01	1.884139e+00		-1.075555e-01
3.750844e+00	3.750844e-01	1.891601e+00		-1.219522e-01
3.762180e+00	3.762180e-01	1.898407e+00		-1.361789e-01
3.773309e+00	3.773309e-01	1.904238e+00		-1.488141e-01
